EmpID,Location,Gender,Level,Date Of Joining,Overall Rating,Career Growth,Compensation and Benefits,Work-life Balance,Comments
a80b49x693,LocD,Men,Middle,10-May-19,Satisfied,Satisfied,Neutral,Satisfied,It's a full package of privileged engagement.
a81b94x601,Remote,Men,Middle,05-Jun-06,Very Dissatisfied,Neutral,Very Dissatisfied,Very Satisfied,Everything is good
a81b10x636,LocC,Women,Middle,02-Jun-22,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Notice period
a80b73x624,LocA,Women,Junior,10-May-22,Satisfied,Satisfied,Neutral,Neutral,"Attrition, people join and left very frequently."
a82b26x611,LocD,Women,Junior,18-Feb-06,Very Dissatisfied,Neutral,Satisfied,Neutral,"I worked in GE.
 All managers are totally unfair.
They don't even involve in team meetings, but they judge people wrongly. 
One of its best example is Meghana, my exmanager..     in the few months I worked with her, we never spoke to each other even once. Don't understand how she is even eligible for manager..   one should at least involve in team meetings to know what's happening...but she is arrogant, incorrect judgemental, and she even harass people...please give manager positions to Bangalore people, these Mumbai managers who are controlling GE are not good....Read More"
a80b12x622,Remote,Women,Junior,07-Jun-17,Very Satisfied,Very Satisfied,Satisfied,Satisfied,Awesome work culture and perfect for a fresher to start their career.
a80b66x601,LocE,UD,Middle,30-Oct-18,Very Dissatisfied,Very Dissatisfied,Neutral,Very Dissatisfied,Very disappointed with my Team Leader Ashwini.
a81b14x636,Remote,Men,Middle,14-Sep-05,Very Satisfied,Satisfied,Satisfied,Satisfied,Good
a80b42x682,LocC,Women,Junior,16-Sep-19,Satisfied,Very Satisfied,Neutral,Neutral,No work life balance
a82b95x669,Remote,Men,Junior,13-Dec-21,Satisfied,Satisfied,Neutral,Satisfied,CompanyX has give me the experience to learn alot
a80b99x654,LocF,Women,Senior,18-Dec-17,Satisfied,Satisfied,Satisfied,Satisfied,"Great work-life balance.
Great learning and skill development
Good manager and team"
a81b00x691,LocA,Men,Middle,11-Jun-14,Very Satisfied,Very Satisfied,Neutral,Very Satisfied,Best workplace to work in
a82b16x602,LocB,Women,Junior,16-Apr-05,Satisfied,Neutral,Neutral,Satisfied,"The work life balance is good. The colleagues are really good, co-operative, and helpful. Most of the projeCompanyB use the latest technologies for the development and testing purpose. The chances of going to onsite are purely depends on the project and the client location. Some projeCompanyB do offer flexible working hours and work from home facility but it also depends on the project you are working in."
a81b90x618,LocE,Women,Middle,03-May-15,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Nothing
a80b68x630,LocG,Men,Middle,02-Jul-08,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Good campany job security and
a81b54x697,Remote,UD,Junior,16-Aug-05,Very Satisfied,Satisfied,Dissatisfied,Satisfied,Good
a81b16x674,LocG,Men,Middle,14-Jun-14,Satisfied,Satisfied,Neutral,Satisfied,Ok it's a good place to start your career
a81b80x611,LocE,Men,Middle,24-Nov-22,Very Satisfied,Satisfied,Satisfied,Very Satisfied,Nothing to dislike
a80b37x684,LocB,Women,Middle,05-Oct-13,Satisfied,Neutral,Satisfied,Satisfied,Good company to work
a81b05x682,LocA,Men,Junior,22-Jan-16,Dissatisfied,Satisfied,Satisfied,Satisfied,"Job Security, HR policies"
a81b44x601,LocC,Men,Middle,19-Nov-18,Satisfied,Satisfied,Satisfied,Satisfied,"It's a good organization ,I have started my career in CompanyX ...i have learnt many things here,it's a good experience ."
a80b59x646,LocB,Women,Junior,14-Jun-13,Very Satisfied,Very Satisfied,Satisfied,Very Satisfied,good environment and culture.  salary on time. opportunity for learning new things.
a80b30x649,Remote,UD,Middle,15-Oct-18,Satisfied,Neutral,Satisfied,Satisfied,Work life balance
a81b46x663,Remote,Men,Middle,05-Mar-10,Neutral,Neutral,Neutral,Dissatisfied,Salary & %of increment
